"uuid"	"title"	"abstract"
"eda296d0-88fd-11da-a88f-000d939bc5d8"	"Carte pédologique: Dakiri (Burkina Faso)"	"Carte pédologique: Dakiri; (Soil Map Sheet 1 and 2)"
"eda296d0-88fd-11da-a88f-000d939bc5d8"	"Carte pédologique: Dakiri (Burkina Faso)"	"Carte pédologique: Dakiri; (Soil Map Sheet 1 and 2)"
"cb48cbe0-88fd-11da-a88f-000d939bc5d8"	"Carte pédologique des bassins versants des voltas rouge et blanche (Burkina Faso)"	"Carte pédologique des bassins versants des voltas rouge et blanche; (Soil Map)"
"ef197f60-88fd-11da-a88f-000d939bc5d8"	"Carte pédologique: Katana (Burkina Faso)"	"Carte pédologique: Katana; Soil Map (Sheet 1 and 2)"
"ef197f60-88fd-11da-a88f-000d939bc5d8"	"Carte pédologique: Katana (Burkina Faso)"	"Carte pédologique: Katana; Soil Map (Sheet 1 and 2)"
"ef0497d0-88fd-11da-a88f-000d939bc5d8"	"Carte pédologique: Kougny (Burkina Faso)"	"Carte pédologique: Kougny"
"ef018a90-88fd-11da-a88f-000d939bc5d8"	"Carte pédologique: Lantaogo (Burkina Faso)"	"Carte pédologique: Lantaogo"
"eda66760-88fd-11da-a88f-000d939bc5d8"	"Carte pédologique: Louda (Burkina Faso)"	"Carte pédologique: Louda; Soil Map (Sheet 1 and 2)"
"eda66760-88fd-11da-a88f-000d939bc5d8"	"Carte pédologique: Louda (Burkina Faso)"	"Carte pédologique: Louda; Soil Map (Sheet 1 and 2)"
"eeff8ec0-88fd-11da-a88f-000d939bc5d8"	"Carte pédologique: Manga (Burkina Faso)"	"Carte pédologique: Manga"
"eda492a0-88fd-11da-a88f-000d939bc5d8"	"Carte pédologique: vallée de Mogtedo (Burkina Faso)"	"Carte pédologique: vallée de Mogtedo; (Soil Map - Sheet 1,2,3 and 4)"
"eda492a0-88fd-11da-a88f-000d939bc5d8"	"Carte pédologique: vallée de Mogtedo (Burkina Faso)"	"Carte pédologique: vallée de Mogtedo; (Soil Map - Sheet 1,2,3 and 4)"
"eda492a0-88fd-11da-a88f-000d939bc5d8"	"Carte pédologique: vallée de Mogtedo (Burkina Faso)"	"Carte pédologique: vallée de Mogtedo; (Soil Map - Sheet 1,2,3 and 4)"
"eda492a0-88fd-11da-a88f-000d939bc5d8"	"Carte pédologique: vallée de Mogtedo (Burkina Faso)"	"Carte pédologique: vallée de Mogtedo; (Soil Map - Sheet 1,2,3 and 4)"
"bf28da80-88fd-11da-a88f-000d939bc5d8"	"Carte des associations des sols du Rwanda et du Burundi"	"Coverage:  Rwanda and Burundi"
"e92c9f10-88fd-11da-a88f-000d939bc5d8"	"Carte des sols du Burundi"	"Include:
Regions naturelles; isohyetes; isothermes; geologie (inset maps) (1500000) - Lithologie, vegetation (inset maps) (1500000); Legend of the map"
"e92c9f10-88fd-11da-a88f-000d939bc5d8"	"Carte des sols du Burundi"	"Include:
Regions naturelles; isohyetes; isothermes; geologie (inset maps) (1500000) - Lithologie, vegetation (inset maps) (1500000); Legend of the map"
"c1560a37-e418-4d17-8c85-f4aa8b6e47ea"	"Carte des sols et de la végétation du Congo belge et du Ruanda-Urundi. 5. Mosso (Urundi) - (Carte de la végétation)"	"Include:
Carte de la végétation  (Michel, G.) (200 000)"
"21a32426-75bf-4fb8-a7f4-b2158529d8b1"	"Carte des sols et de la végétation du Congo belge et du Ruanda-Urundi. 5. Mosso (Urundi) - (Carte d'utilisation des sols)"	"Include:
Carte d'utilisation des sols  (Sys, C.) (200 000)."
"bf04fed0-88fd-11da-a88f-000d939bc5d8"	"Carte des sols et de la végétation du Congo, du Rwanda et du Burundi. 18. Bassin de la Karuzi"	"Include:
Carte detaillée des sols
Carte detaillée de la végétation"
"eb456cf0-88fd-11da-a88f-000d939bc5d8"	"République du Burundi, Carte au 1:50 000 (Bukirasazi - Burundi)"	"Include:
Bukirasazi (SA-35-XXIV-4b); Topographic map"
"ede4f700-88fd-11da-a88f-000d939bc5d8"	"Carte d'utilisation des terres du secteur de Boukombe (Land Use - Benin)"	"Carte d'utilisation des terres du secteur de Boukombé.
Republique du Dahomey, Benin.
Etablie par P. Willaime, dessinée par C. Oke.
Service Cartographique de l'O.R.S.T.O.M. - J. Dauteloup 1963"
"ba581890-88fd-11da-a88f-000d939bc5d8"	"Carte écologique du couvert végétal du Bénin (basée sur des images Landsat); Ecological map of the vegetation cover of Benin (based on Landsat images)"	"Include: Système mondial de surveillance continue de l'environnement; Vegetation Map (sheet 1 and 2)"
"ba581890-88fd-11da-a88f-000d939bc5d8"	"Carte écologique du couvert végétal du Bénin (basée sur des images Landsat); Ecological map of the vegetation cover of Benin (based on Landsat images)"	"Include: Système mondial de surveillance continue de l'environnement; Vegetation Map (sheet 1 and 2)"
"f4d898f0-88fd-11da-a88f-000d939bc5d8"	"Carte générale des sols de la R.P.B. (Bénin)"	"Carte generale des sols de la R.P.B. (Benin)"
"d8710580-88fd-11da-a88f-000d939bc5d8"	"Carte pédologique, Agame Nord et Sud (Benin)"	"Carte pédologique, Agame Nord et Sud; (Soil Map); (3 Sheets)"
"d8710580-88fd-11da-a88f-000d939bc5d8"	"Carte pédologique, Agame Nord et Sud (Benin)"	"Carte pédologique, Agame Nord et Sud; (Soil Map); (3 Sheets)"
"d8710580-88fd-11da-a88f-000d939bc5d8"	"Carte pédologique, Agame Nord et Sud (Benin)"	"Carte pédologique, Agame Nord et Sud; (Soil Map); (3 Sheets)"
"cd003fe0-88fd-11da-a88f-000d939bc5d8"	"Carte pédologique du secteur de Boukombe (Benin)"	"Carte pédologique du secteur de Boukombe; (Soil Map)"
"edce3ab0-88fd-11da-a88f-000d939bc5d8"	"Carte pédologique de la République du Dahomey (Bénin)"	"Carte pédologique de la République du Dahomey (Soil Map)"
"dca6a53c-5b46-48e5-a00c-5324d4c42d73"	"Cartes d'aptitude des sols pour la culture de l'arachide (feuilles Nord et Centre) - Benin"	"Cartes d'aptitude des sols pour la culture de l'arachide"
"dca6a53c-5b46-48e5-a00c-5324d4c42d73"	"Cartes d'aptitude des sols pour la culture de l'arachide (feuilles Nord et Centre) - Benin"	"Cartes d'aptitude des sols pour la culture de l'arachide"
"fc71643d-d20d-4a7c-aff7-7bb4e341b217"	"Cartes d'aptitude des sols pour la culture de l'igname (feuilles Nord et Centre) - Benin"	"Cartes d'aptitude des sols pour la culture de l'igname"
"fc71643d-d20d-4a7c-aff7-7bb4e341b217"	"Cartes d'aptitude des sols pour la culture de l'igname (feuilles Nord et Centre) - Benin"	"Cartes d'aptitude des sols pour la culture de l'igname"
"e08496f3-9dc3-4c2a-b9ab-26fab62f511a"	"Cartes d'aptitude des sols pour la culture du coton (feuilles Nord et Centre) - Benin"	"Cartes d'aptitude des sols pour la culture du coton"
"e08496f3-9dc3-4c2a-b9ab-26fab62f511a"	"Cartes d'aptitude des sols pour la culture du coton (feuilles Nord et Centre) - Benin"	"Cartes d'aptitude des sols pour la culture du coton"
"7e1cd942-f9b4-44eb-8b84-da4ea598bc2e"	"Cartes d'aptitude des sols pour la culture du mais (feuilles Nord et Centre) - Benin"	"Cartes d'aptitude des sols pour la culture du mais"
"7e1cd942-f9b4-44eb-8b84-da4ea598bc2e"	"Cartes d'aptitude des sols pour la culture du mais (feuilles Nord et Centre) - Benin"	"Cartes d'aptitude des sols pour la culture du mais"
"fe9a9396-35aa-4acf-83c5-528637ad0175"	"Cartes d'aptitude des sols pour la culture du manioc (feuilles Nord et Centre) - Benin"	"Cartes d'aptitude des sols pour la culture du manioc"
"fe9a9396-35aa-4acf-83c5-528637ad0175"	"Cartes d'aptitude des sols pour la culture du manioc (feuilles Nord et Centre) - Benin"	"Cartes d'aptitude des sols pour la culture du manioc"
"75e5294a-1f8c-46df-be69-c7b9d9ad311e"	"Cartes d'aptitude des sols pour la culture du mil (feuilles Nord et Centre) - Benin"	"Cartes d'aptitude des sols pour la culture du mil"
"75e5294a-1f8c-46df-be69-c7b9d9ad311e"	"Cartes d'aptitude des sols pour la culture du mil (feuilles Nord et Centre) - Benin"	"Cartes d'aptitude des sols pour la culture du mil"
"2fc08b8d-a634-4639-920a-d28215a92214"	"Cartes d'aptitude des sols pour la culture du sorgho (feuilles Nord et Centre) - Benin"	"Cartes d'aptitude des sols pour la culture du sorgho"
"2fc08b8d-a634-4639-920a-d28215a92214"	"Cartes d'aptitude des sols pour la culture du sorgho (feuilles Nord et Centre) - Benin"	"Cartes d'aptitude des sols pour la culture du sorgho"
"ed424e60-88fd-11da-a88f-000d939bc5d8"	"Mapa geologico de Bolivia"	"Mapa geologico de Bolivia"
"ed442320-88fd-11da-a88f-000d939bc5d8"	"Mapa geologico de Bolivia (parte andina)"	"Mapa geologico de Bolivia"
"dd833d40-88fd-11da-a88f-000d939bc5d8"	"Amazon soils (Brazil)"	"Include:
Guama-Imperatriz area (Appendix 1) (500 000) -
Araguaia Mahogany area (Appendix 2)  (200 000) -
Semi-detailed map of soils and occurrence of Euxylophora paraensis  (Appendix 3)  (10 000) -
Stretch Sao Miguel do Guama-Imperatriz (Appendix 4) -
Stretch Sao Miguel do Guama-Imperatriz (Appendix 5) -
Sketch of the geology, soils and vegetation (Appendix 6) -
Campos naturais na regiao do rio Para e Baixo tocantins (Appendix 7)"
"0831da8c-73e1-4763-9cf5-1860a172d46e"	"A Study of Soils Of The Amazon Valley (Brazil)"	"Include:
Mapa dos Solos (Apendice 2) 
Area Araguaiana de Mogno"
"dc741730-88fd-11da-a88f-000d939bc5d8"	"Carta dos solos da regiao sob influencia do reservatorio de Furnas (Brazil)"	"Carta dos solos da regiao sob influencia do reservatorio de Furnas"
"f34045b0-88fd-11da-a88f-000d939bc5d8"	"Estudo de viabilidade tecnico-economica na regiao do Taim (Brazil)"	"Include:
Rio Grande do Sul: Taim, Soil location map -
Soils classification map, subgroups associations, USDA 7th approx. (mod. 1966)"
"f34045b0-88fd-11da-a88f-000d939bc5d8"	"Estudo de viabilidade tecnico-economica na regiao do Taim (Brazil)"	"Include:
Rio Grande do Sul: Taim, Soil location map -
Soils classification map, subgroups associations, USDA 7th approx. (mod. 1966)"
"f3265510-88fd-11da-a88f-000d939bc5d8"	"General soil map of Rio Grande do Sul (Brazil)"	"General soil map of Rio Grande do Sul"
"dc5592b0-88fd-11da-a88f-000d939bc5d8"	"Levantamento de reconhecimento dos solos do Estado do Espirito Santo (Brazil)"	"Levantamento de reconhecimento dos solos do Estado do Espirito Santo"
"f32a4cb0-88fd-11da-a88f-000d939bc5d8"	"Mapa da distribuicao dos principais agropamentos dos solos do Estado do Parana (Brazil)"	"Mapa da distribuicao dos principais agropamentos dos solos do Estado do Parana"
"dc992b60-88fd-11da-a88f-000d939bc5d8"	"Mapa de aptidao agricola dos solos do Distrito Federal (Brazil)"	"Mapa de aptidao agricola dos solos do Distrito Federal"
"eb0aade0-88fd-11da-a88f-000d939bc5d8"	"Mapa de Unidades de Relevo do Brasil (1a edicao) - (Brazil)"	"Mapa de Unidades de Relevo do Brasil (1a edicao) (Geological Map)"
"963863a2-d786-4c8c-b13f-31f8ff404ae5"	"Mapa dos grandes tipos de solo do Estado de Sao Paulo  (Brazil)"	"Include:
HandMade Map"
"dc76af40-88fd-11da-a88f-000d939bc5d8"	"Map of soil associations (Brazil)"	"Include:
Map of soil associations (Map 4); Map of aptitude of soils for irrigation development (Map 3)"
"dc76af40-88fd-11da-a88f-000d939bc5d8"	"Map of soil associations (Brazil)"	"Include:
Map of soil associations (Map 4); Map of aptitude of soils for irrigation development (Map 3)"
"2583c02a-5743-417b-9cf7-262ad91922ce"	"Plano Agropecuario Florestal (Brazil)"	"Plano Agropecuario Florestal (Land use Map)"
"38d696da-2e69-4898-b4c3-d3d5d3f3c5ed"	"Possibilidades e limitacoes ecologicas para reflorestamento com Araucaria angustifolia (Brazil)"	"Possibilidades e limitacoes ecologicas para reflorestamento com Araucaria angustifolia (Bert.); Land use map"
"f9e85875-610e-4661-9b1d-9c4dbb1df59a"	"Possibilidades e limitacoes ecologicas para reflorestamento com Pinus elliottii (Brazil)"	"Possibilidades e limitacoes ecologicas para reflorestamento com Pinus elliottii; Land use Map"
"f1b056e0-88fd-11da-a88f-000d939bc5d8"	"Tipos de vegetacao (Brazil)"	"Tipos de vegetacao; Vegetation Map"
"87d1d479-5dc8-4d7b-bb33-ac64e58f22fb"	"Uso atual das terras - Regiao Norte fluminense - Est. do Rio de Janeiro (Brazil)"	"Uso atual das terras (Land use Map)"
"f1809450-88fd-11da-a88f-000d939bc5d8"	"Vegetacao original do Brasil (Mapa esquematico) - (Brazil)"	"Mapa esquematico; Vegetation Map"
"52200466-e7d2-454b-bcce-276ec64b3e8a"	"Agricultural potential of Eastern Bechuanaland (Sheet 11 - Botswana)"	"Series: DOS (LU) 3016-B; Land Suitability (Sheet 11)"
"4c4beaf0-79ba-4499-98e7-128153089060"	"Agricultural potential of Eastern Bechuanaland (Sheet 5 - Botswana)"	"Series: DOS (LU) 3016-B; Land Suitability (Sheet 5)"
"df86be17-45a7-424e-95ad-6778e8c98645"	"Agricultural potential of Eastern Bechuanaland (Sheet 8 - Botswana)"	"Series: DOS (LU) 3016-B; Land Suitability (Sheet 8)"
"cf633620-88fd-11da-a88f-000d939bc5d8"	"Distribution of the Karoo in Botswana"	"Distribution of the Karoo in Botswana; Geological Map"
"cc082440-88fd-11da-a88f-000d939bc5d8"	"Generalized vegetation map (Botswana)"	"Generalized vegetation map"
"e7d96b20-88fd-11da-a88f-000d939bc5d8"	"Geological Map of the Republic of Botswana"	"Geological Map of the Republic of Botswana; Stratigraphic units; (Sheet North and South)"
"e7d96b20-88fd-11da-a88f-000d939bc5d8"	"Geological Map of the Republic of Botswana"	"Geological Map of the Republic of Botswana; Stratigraphic units; (Sheet North and South)"
"e7dced90-88fd-11da-a88f-000d939bc5d8"	"Groundwater resources map of the Republic of Botswana"	"Groundwater resources map of the Republic of Botswana; (Sheet East and West)"
"e7dced90-88fd-11da-a88f-000d939bc5d8"	"Groundwater resources map of the Republic of Botswana"	"Groundwater resources map of the Republic of Botswana; (Sheet East and West)"
"0d5af631-83fb-4894-9ca1-576bf1ed1287"	"Land suitability for improved traditional dryland farming (Lephepe - Botswana))"	"Include:
Lephepe (29)"
"6814b74a-40f2-4371-a6e6-66d802aeb19d"	"Land suitability for improved traditional dryland farming (Mahalapye - Botswana)"	"Include:
Mahalapye (30)"
"10fdeb58-e20a-48c0-8ed5-84038a692637"	"Land suitability for improved traditional dryland farming (Palapye - Botswana)"	"Include:
Palapye (24)"
"46c9d9a4-cd22-4a8e-93b0-a5cfd2676575"	"Land suitability for improved traditional dryland farming (Serowe - Botswana)"	"Include:
Serowe (23)"
"e88d03b0-88fd-11da-a88f-000d939bc5d8"	"Land suitability for rainfed crop production under improved traditional management assuming complete control of weeds and no fertilizer (Botswana)"	"Land suitability for rainfed crop production under improved traditional management assuming complete control of weeds and no fertilizer; (Sheet North and South)"
"e88d03b0-88fd-11da-a88f-000d939bc5d8"	"Land suitability for rainfed crop production under improved traditional management assuming complete control of weeds and no fertilizer (Botswana)"	"Land suitability for rainfed crop production under improved traditional management assuming complete control of weeds and no fertilizer; (Sheet North and South)"
"e092ca2f-8c9e-4c62-90ba-136f4d45e987"	"Land suitability maps for cotton (Botswana)"	"Includes:
Land suitability map for cotton, Kasane  (SE-35-5/6/9/10)"
"fe318de0-f551-4424-a7d8-d0271767a88c"	"Land suitability maps for maize (Botswana)"	"Includes:
Land suitability map for maize, Kasane  (SE-35-5/6/9/10)"
"4e5836f8-7d72-4d7c-bcf6-62b1dea976b1"	"Land suitability maps for sorghum (Botswana)"	"Includes:
Land suitability map for sorghum, Kasane(SE-35-5/6/9/10)"
"d8ea7b40-88fd-11da-a88f-000d939bc5d8"	"Photogeological map of Botswana"	"Series: DOS (Geol) 1218; Geological Map (Sheet 1 and 2)"
"d8ea7b40-88fd-11da-a88f-000d939bc5d8"	"Photogeological map of Botswana"	"Series: DOS (Geol) 1218; Geological Map (Sheet 1 and 2)"
"414a810a-9799-4eaa-915b-79ed968f0942"	"Preliminary soil map (Kasane - Botswana)"	"Includes Sheets:
Kasane; Preliminary soil map"
"33ccab0d-0b81-42a9-9ae1-4ca596632d05"	"Preliminary soil map (Savute - Botswana)"	"Includes Sheets:
Savute; Preliminary soil map"
"753b1159-81a6-4d82-8f1b-3a61032e6df8"	"Provisional Geological Map of Bechuanaland"	"Provisional Geological Map of Bechuanaland"
"cc259750-88fd-11da-a88f-000d939bc5d8"	"Vegetation - Central and Southern State. Lands & soil and vegetation sites (Botswana)"	"Series: DOS 3113; Vegetation Map"
"8138c9a3-cd29-4594-8dd8-9796852febdf"	"British Honduras (Potential land use)"	"Series DOS (Misc) 241
Includes:
Provisional soil map (Map 2)"
"a7e006c9-d81e-4e4e-a3f0-162bd1a194e5"	"Aménagement de l'espace rural de la région du Bandundu - Infrastructures"	"Include:
Infrastructures (Carte No 2)"
"26eedb75-3d71-43ef-8d88-a072fae4aa91"	"Aménagement de l'espace rural de la région du Bandundu - Potentialités naturelles"	"Include:
Potentialités naturelles (Carte No 4)"
"000c77f1-7a0e-4aae-a208-b95330ebfba7"	"Aménagement de l'espace rural de la région du Bandundu - Production agricole et mise en valeur"	"Include:
Production agricole et mise en valeur (Carte No 3)"
"3c11fcb0-f993-4031-bcc3-e99cd8d5a799"	"Aménagement de l'espace rural de la région du Bandundu - Répartition de la population"	"Include:
Répartition de la population (Carte 1)"
"655f8cb5-84e7-4093-bbb7-64ea569fec59"	"Aménagement de l'espace rural de la région du Bandundu - Schéma d'aménagement régional"	"Include:
Schéma d'aménagement régional (Carte No 5)."
"efbb64b0-88fd-11da-a88f-000d939bc5d8"	"Carte des productions végétales, Kaart van de plantaardige producties"	"Coverage: Congo, Dem., Burundi, Rwanda"
"36209c9a-5402-4a02-a577-a373c5e797b4"	"Carte des sols et de la vegetation du Congo Belge et du Ruanda-Urundi"	"Sols (Feuille 1 - Carte de Reconnaissance) (60 000)"
"7cfb16cb-2aa9-46b5-8721-0ae6f7a5e7d2"	"Carte des sols et de la végétation du Congo belge et du Ruanda-Urundi. 14. Uele"	"Include:
Carte semi-détaillée de la région de Niangara, nord & sud (Frankart, R.),
Utilisation des sols  (Frankart, R.)  (40 000),
Carte semi-détaillée des sols et végétation, Paulis (Isiro) (Frankart, R.),
Carte semi-détaillée de la région de Dili (Frankart, R.);
(3 Sheets)"
"7cfb16cb-2aa9-46b5-8721-0ae6f7a5e7d2"	"Carte des sols et de la végétation du Congo belge et du Ruanda-Urundi. 14. Uele"	"Include:
Carte semi-détaillée de la région de Niangara, nord & sud (Frankart, R.),
Utilisation des sols  (Frankart, R.)  (40 000),
Carte semi-détaillée des sols et végétation, Paulis (Isiro) (Frankart, R.),
Carte semi-détaillée de la région de Dili (Frankart, R.);
(3 Sheets)"
"7cfb16cb-2aa9-46b5-8721-0ae6f7a5e7d2"	"Carte des sols et de la végétation du Congo belge et du Ruanda-Urundi. 14. Uele"	"Include:
Carte semi-détaillée de la région de Niangara, nord & sud (Frankart, R.),
Utilisation des sols  (Frankart, R.)  (40 000),
Carte semi-détaillée des sols et végétation, Paulis (Isiro) (Frankart, R.),
Carte semi-détaillée de la région de Dili (Frankart, R.);
(3 Sheets)"
"d9702600-88fd-11da-a88f-000d939bc5d8"	"Carte des sols et de la végétation du Congo belge et du Ruanda-Urundi. 15. Kasai"	"Include:
Sols  (Gilson, P)  (S 7/23)  (200 000),
Sols  (S 7/23a, 7/23b),
Végétation  (Liben, L),  (S 7/23),
Carte semi-détaillee de la région de Gandajika-Pembazeo (Gilson, P.) (S 7/231),
Carte de reconnaissance du degré carré de Dibaya  (Van den Enden, G.)  (S 7/22)  (200 000),
Carte semi-detaillée de la région de Dibaya  (Liben, L.) (S 7/22) (200 000),"
"f416c393-693a-4a1e-9965-daaa9c755cee"	"Carte des sols et de la végétation du Congo belge et du Ruanda-Urundi. 16. Dorsale du Kivu (Utilisation des sols - Zaire)"	"Include:
Carte de reconnaissance sols (Pecrot,A.),
Carte semi-detaillee de la region de Masisi (Kivu Nord) (50 000),
Utilisation des sols"
"0f2274ca-91c3-4422-a21f-f8a8bb4c24bb"	"Carte des sols et de la végétation du Congo belge et du Ruanda-Urundi. 16. Dorsale du Kivu (Vegetation - Zaire)"	"Include:
Carte de reconnaissance sols (Pecrot,A.),
Carte semi-detaillee de la region de Masisi (Kivu Nord) (50 000),
Carte de reconnaissance, vegetation  (Leonard, A)"
"d4826630-88fd-11da-a88f-000d939bc5d8"	"Carte des sols et de la végétation du Congo belge et du Ruanda-Urundi. 1. Kaniama (Haut-Lomami)"	"Include:
Carte semi-détaillée  (25 000),
Carte de reconnaisance, Lomami  (50 000),
Carte de reconnaissance, Lomami (100 000)"
"d4302780-88fd-11da-a88f-000d939bc5d8"	"Carte des sols et de la végétation du Congo belge et du Ruanda-Urundi. 2.Mvuazi (Bas-Congo)"	"Include:
A. Sols,
B. Végétation"
